"Смартфон HONOR Magic5 Lite 5G 8/256GB Midnight Black",/uk/shop/smartfoniy_i_mobilniye_telefoniy_honor_magic5_lite_5g_8256gb_midnight_black.html,10999
"Смартфон SAMSUNG Galaxy A34 5G 6/128Gb Dual Sim Black (SM-A346EZKASEK)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a346e_galaxy_a34_5g_6128gb_zka_black.html,10999
"Смартфон XIAOMI Redmi Note 13 Pro 8/256GB Dual Sim Midnight Black)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_13_pro_8256gb_midnight_black.html,11999
"Смартфон SAMSUNG Galaxy A34 5G 8/256Gb Black (SM-A346EZKESEK)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a346e_galaxy_a34_5g_8256gb_zke_black.html,12499
"Смартфон SAMSUNG Galaxy A34 5G 8/256Gb Light Violet (SM-A346ELVESEK)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a346e_galaxy_a34_5g_8256gb_lve_light_violet.html,12499
"Смартфон SAMSUNG Galaxy A54 5G 8/256Gb Black (SM-A546EZKDSEK)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a546e_galaxy_a54_5g_8256gb_zkd_light_pink.html,16999
"Смартфон APPLE iPhone 11 128GB White (MHDJ3) (без адаптера)",/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-whiteno-adapter-.html,21999
"Смартфон APPLE iPhone 13 128GB Starlight (MLPG3HU/A)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_white.html,26999
"APPLE iPhone 14 Plus 128GB Midnight",/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_midnight.html,34999
"APPLE iPhone 15 128GB Black (MTP03RX/A)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_midnight.html,36999
"Смартфон SAMSUNG Galaxy S24 SM-S921B 8/256Gb ZAG Marble Gray (SM-S921BZAGEUC)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_s921b_galaxy_s24_8256gb_zag_marble_gray.html,39999
"Смартфон XIAOMI 14 12/512GB Black",/uk/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_14_12512gb_black.html,44999
"APPLE iPhone 15 Pro 128GB Blue Titanium (MTV03RX/A)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_gold.html,49999
"APPLE iPhone 15 Pro Max 256GB Natural Titanium (MU793RX/A)",/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_256gb_deep_purple.html,59999
